category,group_type,group_value,value,unit
school_aged_children: 6,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",7.53,percent
school_aged_children: 6,c19_experience,"No, I have not had COVID-19",12.65,percent
school_aged_children: 7,c19_experience,"Yes, I tested positive for COVID-19",15.96,percent
school_aged_children: 7,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",19.48,percent
school_aged_children: 7,c19_experience,"No, I have not had COVID-19",15.22,percent
school_aged_children: 8,c19_experience,"Yes, I tested positive for COVID-19",11.64,percent
school_aged_children: 8,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",13.12,percent
school_aged_children: 8,c19_experience,"No, I have not had COVID-19",14.66,percent
school_aged_children: 9,c19_experience,"Yes, I tested positive for COVID-19",4.13,percent
school_aged_children: 9,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",11.58,percent
school_aged_children: 9,c19_experience,"No, I have not had COVID-19",6.37,percent
school_aged_children: Extremely satisfied,c19_experience,"Yes, I tested positive for COVID-19",3.98,percent
school_aged_children: Extremely satisfied,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",5.95,percent
school_aged_children: Extremely satisfied,c19_experience,"No, I have not had COVID-19",4.09,percent
